diet_group,age_group,sex,mean_ghgs
fish,20-29,female,4.9
fish,20-29,male,5.66
fish,30-39,female,4.94
fish,30-39,male,5.33
fish,40-49,female,4.93
fish,40-49,male,5.2
fish,50-59,female,4.94
fish,50-59,male,5.14
fish,60-69,female,5.1
fish,60-69,male,5.15
fish,70-79,female,4.99
fish,70-79,male,5.3
meat,20-29,female,6.91
meat,20-29,male,7.39
meat,30-39,female,7.14
meat,30-39,male,7.59
meat,40-49,female,7.48
meat,40-49,male,7.78
meat,50-59,female,7.59
meat,50-59,male,7.75
meat,60-69,female,7.54
meat,60-69,male,7.84
meat,70-79,female,7.61
meat,70-79,male,8.02
meat100,20-29,female,10.19
meat100,20-29,male,12.1
meat100,30-39,female,10.42
meat100,30-39,male,11.18
meat100,40-49,female,11.24
meat100,40-49,male,11.49
meat100,50-59,female,11.57
meat100,50-59,male,11.68
meat100,60-69,female,11.52
meat100,60-69,male,11.45
meat100,70-79,female,11.99
meat100,70-79,male,12.26
meat50,20-29,female,5.39
meat50,20-29,male,5.84
meat50,30-39,female,5.49
meat50,30-39,male,5.92
meat50,40-49,female,5.6
meat50,40-49,male,5.9
meat50,50-59,female,5.74
meat50,50-59,male,5.93
meat50,60-69,female,5.86
meat50,60-69,male,5.92
meat50,70-79,female,5.84
meat50,70-79,male,6.13
vegan,20-29,female,2.38
vegan,20-29,male,2.84
vegan,30-39,female,2.54
vegan,30-39,male,2.7
vegan,40-49,female,2.66
vegan,40-49,male,2.69
vegan,50-59,female,2.52
vegan,50-59,male,2.52
vegan,60-69,female,2.63
vegan,60-69,male,2.43
vegan,70-79,female,2.84
vegan,70-79,male,2.59
veggie,20-29,female,4.32
veggie,20-29,male,4.9
veggie,30-39,female,4.37
veggie,30-39,male,4.81
veggie,40-49,female,4.39
veggie,40-49,male,4.61
veggie,50-59,female,4.37
veggie,50-59,male,4.46
veggie,60-69,female,4.47
veggie,60-69,male,4.44
veggie,70-79,female,4.47
veggie,70-79,male,4.61
